"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"61","127","SPEI",1993-06-01,"TLM",3,68,45.4,NA,NA,NA,NA,NA,"1993"
"62","127","SPEI",1993-06-01,"TLM",4,68.6,45.4,NA,NA,NA,NA,NA,"1993"
"63","127","SPEI",1993-06-01,"TLM",5,69.6,46.6,NA,NA,NA,NA,NA,"1993"
"64","127","SPEI",1993-06-01,"TLM",6,68.9,45.9,NA,NA,NA,NA,NA,"1993"
"65","127","SPEI",1993-06-01,"TLM",7,68.5,45.7,NA,NA,NA,NA,NA,"1993"
"66","129","SPEI",1993-06-01,"TLM",1,66.8,43.5,NA,NA,NA,NA,NA,"1993"
"67","129","SPEI",1993-06-01,"TLM",2,65.7,44.5,NA,NA,NA,NA,NA,"1993"
"68","129","SPEI",1993-06-01,"TLM",3,65.8,44.4,NA,NA,NA,NA,NA,"1993"
"69","129","SPEI",1993-06-01,"TLM",4,65.6,44.6,NA,NA,NA,NA,NA,"1993"
"70","129","SPEI",1993-06-01,"TLM",5,63.5,45.4,NA,NA,NA,NA,NA,"1993"
"71","129","SPEI",1993-06-01,"TLM",6,66.4,43.2,NA,NA,NA,NA,NA,"1993"
"72","130","SPEI",1993-06-01,"TLM",1,67.2,45.8,NA,NA,NA,NA,NA,"1993"
"73","130","SPEI",1993-06-01,"TLM",2,66.1,45.6,NA,NA,NA,NA,NA,"1993"
"74","130","SPEI",1993-06-01,"TLM",3,66.3,46,NA,NA,NA,NA,NA,"1993"
"75","130","SPEI",1993-06-01,"TLM",4,67.5,45.7,NA,NA,NA,NA,NA,"1993"
"76","131","SPEI",1993-06-01,"TLM",1,64.8,45,NA,NA,NA,NA,NA,"1993"
"77","131","SPEI",1993-06-01,"TLM",2,67.3,44.6,NA,NA,NA,NA,NA,"1993"
"78","131","SPEI",1993-06-01,"TLM",3,68.9,43.6,NA,NA,NA,NA,NA,"1993"
"79","131","SPEI",1993-06-01,"TLM",4,67.9,44.2,NA,NA,NA,NA,NA,"1993"
"80","131","SPEI",1993-06-01,"TLM",5,67.3,44.3,NA,NA,NA,NA,NA,"1993"
"81","136","SPEI",1993-06-02,"TLM",1,70.3,44,NA,NA,NA,NA,NA,"1993"
"82","136","SPEI",1993-06-02,"TLM",2,70.4,45.5,NA,NA,NA,NA,NA,"1993"
"83","136","SPEI",1993-06-02,"TLM",3,70,46.1,NA,NA,NA,NA,NA,"1993"
"84","136","SPEI",1993-06-02,"TLM",4,66.4,45.4,NA,NA,NA,NA,NA,"1993"
"85","136","SPEI",1993-06-02,"TLM",5,64.8,45,NA,NA,NA,NA,NA,"1993"
"86","136","SPEI",1993-06-02,"TLM",6,67.8,45.8,NA,NA,NA,NA,NA,"1993"
"87","137","SPEI",1993-06-02,"TLM",1,67.8,46.5,NA,NA,NA,NA,NA,"1993"
"88","137","SPEI",1993-06-02,"TLM",2,68,45.1,NA,NA,NA,NA,NA,"1993"
"89","137","SPEI",1993-06-02,"TLM",3,69,45.8,NA,NA,NA,NA,NA,"1993"
"90","137","SPEI",1993-06-02,"TLM",4,68.1,45.2,NA,NA,NA,NA,NA,"1993"
"91","137","SPEI",1993-06-02,"TLM",5,68.2,46.6,NA,NA,NA,NA,NA,"1993"
"92","137","SPEI",1993-06-02,"TLM",6,68,47.1,NA,NA,NA,NA,NA,"1993"
"93","140","SPEI",1993-06-03,"TLM",1,67.8,45.6,NA,NA,NA,NA,NA,"1993"
"94","140","SPEI",1993-06-03,"TLM",2,69,45.9,NA,NA,NA,NA,NA,"1993"
"95","140","SPEI",1993-06-03,"TLM",3,69.5,46.3,NA,NA,NA,NA,NA,"1993"
"96","140","SPEI",1993-06-03,"TLM",4,70.3,45.8,NA,NA,NA,NA,NA,"1993"
"97","140","SPEI",1993-06-03,"TLM",5,68.2,46,NA,NA,NA,NA,NA,"1993"
"98","140","SPEI",1993-06-03,"TLM",6,67.7,46.2,NA,NA,NA,NA,NA,"1993"
"99","141","SPEI",1993-06-03,"TLM",1,69.3,45,NA,NA,NA,NA,NA,"1993"
"100","141","SPEI",1993-06-03,"TLM",2,69.9,45.5,NA,NA,NA,NA,NA,"1993"
"101","141","SPEI",1993-06-03,"TLM",3,66.9,44.1,NA,NA,NA,NA,NA,"1993"
"102","141","SPEI",1993-06-03,"TLM",4,69,45.9,NA,NA,NA,NA,NA,"1993"
"103","141","SPEI",1993-06-03,"TLM",5,68.1,45.3,NA,NA,NA,NA,NA,"1993"
"104","142","SPEI",1993-06-03,"TLM",1,69.4,46.7,NA,NA,NA,NA,NA,"1993"
"105","142","SPEI",1993-06-03,"TLM",2,65.1,46.7,NA,NA,NA,NA,NA,"1993"
"106","142","SPEI",1993-06-03,"TLM",3,66.7,46.9,NA,NA,NA,NA,NA,"1993"
"107","142","SPEI",1993-06-03,"TLM",4,67.9,46.9,NA,NA,NA,NA,NA,"1993"
"108","142","SPEI",1993-06-03,"TLM",5,67,47.1,NA,NA,NA,NA,NA,"1993"
"109","142","SPEI",1993-06-03,"TLM",6,65.6,45.6,NA,NA,NA,NA,NA,"1993"
"110","144","SPEI",1993-06-04,"TLM",1,68.8,42.3,NA,NA,NA,NA,NA,"1993"
"111","144","SPEI",1993-06-04,"TLM",2,70.3,45.5,NA,NA,NA,NA,NA,"1993"
"112","144","SPEI",1993-06-04,"TLM",3,71.5,45.6,NA,NA,NA,NA,NA,"1993"
"113","144","SPEI",1993-06-04,"TLM",4,68.8,42.4,NA,NA,NA,NA,NA,"1993"
"114","145","SPEI",1993-06-04,"TLM",1,70.7,43.2,NA,NA,NA,NA,NA,"1993"
"115","145","SPEI",1993-06-04,"TLM",2,66.7,44.4,NA,NA,NA,NA,NA,"1993"
"116","145","SPEI",1993-06-04,"TLM",3,70.8,43.2,NA,NA,NA,NA,NA,"1993"
