"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"3918","TLM078","SPEI",1997-06-01,"TLM",4,65.7,45.8,NA,NA,NA,NA,NA,"1997"
"3919","TLM078","SPEI",1997-06-01,"TLM",5,66.3,44.1,NA,NA,NA,NA,NA,"1997"
"3920","TLM079","SPEI",1997-06-01,"TLM",1,63.9,45.6,NA,NA,NA,NA,NA,"1997"
"3921","TLM079","SPEI",1997-06-01,"TLM",2,64.8,45.1,NA,NA,NA,NA,NA,"1997"
"3922","TLM079","SPEI",1997-06-01,"TLM",3,64.6,44.8,NA,NA,NA,NA,NA,"1997"
"3923","TLM079","SPEI",1997-06-01,"TLM",4,64.6,44.8,NA,NA,NA,NA,NA,"1997"
"3924","TLM079","SPEI",1997-06-01,"TLM",5,65.7,44,NA,NA,NA,NA,NA,"1997"
"3925","TLM080","SPEI",1997-06-01,"TLM",1,70.8,44.6,NA,NA,NA,NA,NA,"1997"
"3926","TLM080","SPEI",1997-06-01,"TLM",2,70.9,44.4,NA,NA,NA,NA,NA,"1997"
"3927","TLM080","SPEI",1997-06-01,"TLM",3,63.8,43.4,NA,NA,NA,NA,NA,"1997"
"3928","TLM080","SPEI",1997-06-01,"TLM",4,65.4,44.1,NA,NA,NA,NA,NA,"1997"
"3929","TLM080","SPEI",1997-06-01,"TLM",5,70.1,43.3,NA,NA,NA,NA,NA,"1997"
"3930","TLM081","COEI",1997-06-01,"TLM",1,70.3,51.1,"Y",0,0,0,1997-06-15,"1997"
"3931","TLM081","COEI",1997-06-01,"TLM",2,75.5,50.8,NA,0,0,0,1997-06-15,"1997"
"3932","TLM081","COEI",1997-06-01,"TLM",3,78.1,50.7,NA,0,0,0,1997-06-15,"1997"
"3933","TLM081","COEI",1997-06-01,"TLM",4,78.4,50.9,NA,0,0,0,1997-06-15,"1997"
"3934","TLM081","COEI",1997-06-01,"TLM",5,77,50.8,NA,0,0,0,1997-06-15,"1997"
"3935","TLM081","COEI",1997-06-01,"TLM",6,80.3,50.7,NA,0,0,0,1997-06-15,"1997"
"3936","TLM082","SPEI",1997-06-01,"TLM",1,72.2,46.4,NA,NA,NA,NA,NA,"1997"
"3937","TLM082","SPEI",1997-06-01,"TLM",2,64.9,46.8,NA,NA,NA,NA,NA,"1997"
"3938","TLM082","SPEI",1997-06-01,"TLM",3,71.1,44.8,NA,NA,NA,NA,NA,"1997"
"3939","EFS047","COEI",1997-06-02,"EFS",1,75.2,50.1,NA,NA,NA,NA,NA,"1997"
"3940","EFS047","COEI",1997-06-02,"EFS",2,69.2,47.1,NA,NA,NA,NA,NA,"1997"
"3941","EFS047","COEI",1997-06-02,"EFS",3,74.7,50.6,NA,NA,NA,NA,NA,"1997"
"3942","EFS047","COEI",1997-06-02,"EFS",4,73.5,49.3,NA,NA,NA,NA,NA,"1997"
"3943","EFS047","COEI",1997-06-02,"EFS",5,74.6,48.9,NA,NA,NA,NA,NA,"1997"
"3944","EFS047","COEI",1997-06-02,"EFS",6,70.2,48,NA,NA,NA,NA,NA,"1997"
"3945","EFS047","COEI",1997-06-02,"EFS",7,73.5,48.1,NA,NA,NA,NA,NA,"1997"
"3946","EFS048","SPEI",1997-06-02,"EFS",1,66.8,44.4,NA,NA,NA,NA,NA,"1997"
"3947","EFS048","SPEI",1997-06-02,"EFS",2,66.8,44.1,NA,NA,NA,NA,NA,"1997"
"3948","EFS048","SPEI",1997-06-02,"EFS",3,67.5,45.5,NA,NA,NA,NA,NA,"1997"
"3949","EFS048","SPEI",1997-06-02,"EFS",4,70.3,46.1,NA,NA,NA,NA,NA,"1997"
"3950","EFS049","SPEI",1997-06-02,"EFS",1,72.7,43.9,NA,NA,NA,NA,NA,"1997"
"3951","EFS049","SPEI",1997-06-02,"EFS",2,72.9,43.8,NA,NA,NA,NA,NA,"1997"
"3952","EFS049","SPEI",1997-06-02,"EFS",3,69.7,42.1,NA,NA,NA,NA,NA,"1997"
"3953","EFS049","SPEI",1997-06-02,"EFS",4,73,43.6,NA,NA,NA,NA,NA,"1997"
"3954","EFS050","SPEI",1997-06-02,"EFS",1,73,47.3,NA,NA,NA,NA,NA,"1997"
"3955","EFS050","SPEI",1997-06-02,"EFS",2,76.9,46.3,NA,NA,NA,NA,NA,"1997"
"3956","EFS050","SPEI",1997-06-02,"EFS",3,77.9,45.8,NA,NA,NA,NA,NA,"1997"
"3957","EFS050","SPEI",1997-06-02,"EFS",4,75.5,43.8,NA,NA,NA,NA,NA,"1997"
"3958","EFS046","COEI",1997-06-02,"EFS",1,80.2,51.3,NA,NA,NA,NA,NA,"1997"
"3959","EFS046","COEI",1997-06-02,"EFS",2,74.2,51.4,NA,NA,NA,NA,NA,"1997"
"3960","EFS046","COEI",1997-06-02,"EFS",3,82.8,52.2,NA,NA,NA,NA,NA,"1997"
"3961","EFS046","COEI",1997-06-02,"EFS",4,79.7,52.5,NA,NA,NA,NA,NA,"1997"
"3962","EFS046","COEI",1997-06-02,"EFS",5,73.6,50.3,NA,NA,NA,NA,NA,"1997"
"3963","TLM032","SPEI",1997-06-02,"GJH",5,62.4,46.4,NA,NA,NA,NA,NA,"1997"
"3964","GJH049","SPEI",1997-06-02,"GJH",1,69.6,46.4,NA,NA,NA,NA,NA,"1997"
"3965","GJH049","SPEI",1997-06-02,"GJH",2,66.2,45.2,NA,NA,NA,NA,NA,"1997"
"3966","GJH049","SPEI",1997-06-02,"GJH",3,68.6,46.2,NA,NA,NA,NA,NA,"1997"
"3967","GJH049","SPEI",1997-06-02,"GJH",4,66.1,45.3,NA,NA,NA,NA,NA,"1997"
"3968","GJH050","SPEI",1997-06-02,"GJH",1,67.9,44.6,NA,NA,NA,NA,NA,"1997"
"3969","GJH050","SPEI",1997-06-02,"GJH",2,64.4,46.1,NA,NA,NA,NA,NA,"1997"
"3970","GJH050","SPEI",1997-06-02,"GJH",3,66.1,46.3,NA,NA,NA,NA,NA,"1997"
"3971","GJH050","SPEI",1997-06-02,"GJH",4,69,45.7,NA,NA,NA,NA,NA,"1997"
"3972","GJH051","SPEI",1997-06-02,"GJH",1,67,45.2,NA,NA,NA,NA,NA,"1997"
"3973","GJH051","SPEI",1997-06-02,"GJH",2,69.1,45.7,NA,NA,NA,NA,NA,"1997"
"3974","GJH051","SPEI",1997-06-02,"GJH",3,68.7,45.3,NA,NA,NA,NA,NA,"1997"
"3975","GJH051","SPEI",1997-06-02,"GJH",4,68.5,46,NA,NA,NA,NA,NA,"1997"
"3976","GJH024","COEI",1997-05-25,"GJH",1,79.1,51.4,NA,NA,NA,NA,NA,"1997"
"3977","GJH024","COEI",1997-05-25,"GJH",2,81.1,50.2,NA,NA,NA,NA,NA,"1997"
"3978","GJH024","COEI",1997-05-25,"GJH",3,75.6,49,NA,NA,NA,NA,NA,"1997"
"3979","GJH024","COEI",1997-05-25,"GJH",4,75.7,50.5,NA,NA,NA,NA,NA,"1997"
"3980","GJH024","COEI",1997-05-25,"GJH",5,77.7,51,NA,NA,NA,NA,NA,"1997"
"3981","TLM088","SPEI",1997-06-03,"TLM",1,68.5,46.5,NA,NA,NA,NA,NA,"1997"
"3982","TLM088","SPEI",1997-06-03,"TLM",2,68.6,45.7,NA,NA,NA,NA,NA,"1997"
"3983","TLM088","SPEI",1997-06-03,"TLM",3,69.4,45.1,NA,NA,NA,NA,NA,"1997"
"3984","TLM088","SPEI",1997-06-03,"TLM",4,70.2,45,NA,NA,NA,NA,NA,"1997"
"3985","TLM088","SPEI",1997-06-03,"TLM",5,64.8,46,NA,NA,NA,NA,NA,"1997"
"3986","TLM087","COEI",1997-06-03,"TLM",1,76.5,49.6,NA,NA,NA,NA,NA,"1997"
"3987","TLM087","COEI",1997-06-03,"TLM",2,74,49.5,NA,NA,NA,NA,NA,"1997"
"3988","TLM087","COEI",1997-06-03,"TLM",3,74.3,49.3,NA,NA,NA,NA,NA,"1997"
"3989","TLM087","COEI",1997-06-03,"TLM",4,68.8,49.3,NA,NA,NA,NA,NA,"1997"
"3990","TLM087","COEI",1997-06-03,"TLM",5,68.1,47.2,NA,NA,NA,NA,NA,"1997"
"3991","TLM087","COEI",1997-06-03,"TLM",6,72.4,48.4,NA,NA,NA,NA,NA,"1997"
"3992","TLM087","COEI",1997-06-03,"TLM",7,73.9,48.5,NA,NA,NA,NA,NA,"1997"
"3993","TLM087","COEI",1997-06-03,"TLM",8,75.1,49.7,NA,NA,NA,NA,NA,"1997"
"3994","TLM086","SPEI",1997-06-03,"TLM",1,73.9,45.8,NA,0,0,0,1997-06-21,"1997"
"3995","TLM086","SPEI",1997-06-03,"TLM",2,69.5,44.7,NA,0,0,0,1997-06-21,"1997"
"3996","TLM086","SPEI",1997-06-03,"TLM",3,75.4,46.9,NA,0,0,0,1997-06-21,"1997"
"3997","TLM086","SPEI",1997-06-03,"TLM",4,70,45.7,NA,0,0,0,1997-06-21,"1997"
"3998","TLM086","SPEI",1997-06-03,"TLM",5,72.5,45.5,NA,0,0,0,1997-06-21,"1997"
"3999","TLM085","SPEI",1997-06-03,"TLM",1,69,44.4,NA,NA,NA,NA,NA,"1997"
"4000","TLM085","SPEI",1997-06-03,"TLM",2,68,44.7,NA,NA,NA,NA,NA,"1997"
"4001","TLM085","SPEI",1997-06-03,"TLM",3,69.4,44.1,NA,NA,NA,NA,NA,"1997"
"4002","TLM085","SPEI",1997-06-03,"TLM",4,68.5,42.5,NA,NA,NA,NA,NA,"1997"
"4003","TLM084","SPEI",1997-06-03,"TLM",1,66,45.1,NA,NA,NA,NA,NA,"1997"
"4004","TLM084","SPEI",1997-06-03,"TLM",2,68.4,45.1,NA,NA,NA,NA,NA,"1997"
"4005","TLM084","SPEI",1997-06-03,"TLM",3,67.9,45.3,NA,NA,NA,NA,NA,"1997"
"4006","TLM084","SPEI",1997-06-03,"TLM",4,68,45,NA,NA,NA,NA,NA,"1997"
"4007","TLM084","SPEI",1997-06-03,"TLM",5,66.6,45,NA,NA,NA,NA,NA,"1997"
"4008","TLM083","SPEI",1997-06-03,"TLM",1,67.6,45.2,NA,NA,NA,NA,NA,"1997"
"4009","TLM083","SPEI",1997-06-03,"TLM",2,66.1,45.9,NA,NA,NA,NA,NA,"1997"
"4010","TLM083","SPEI",1997-06-03,"TLM",3,69.6,45.2,NA,NA,NA,NA,NA,"1997"
"4011","TLM083","SPEI",1997-06-03,"TLM",4,71.5,45.7,NA,NA,NA,NA,NA,"1997"
"4012","GJH028","SPEI",1997-06-03,"MMB",5,64.5,55,NA,NA,NA,NA,NA,"1997"
"4013","EFS031","COEI",1997-06-03,"MMB",6,70.9,49.5,NA,NA,NA,NA,NA,"1997"
"4014","GJH052","SPEI",1997-06-03,"GJH",1,68.2,45.6,NA,NA,NA,NA,NA,"1997"
"4015","GJH052","SPEI",1997-06-03,"GJH",2,70.6,44.4,NA,NA,NA,NA,NA,"1997"
"4016","GJH052","SPEI",1997-06-03,"GJH",3,67.7,47,NA,NA,NA,NA,NA,"1997"
"4017","GJH052","SPEI",1997-06-03,"GJH",4,67.2,46,NA,NA,NA,NA,NA,"1997"
"4018","GJH052","SPEI",1997-06-03,"GJH",5,70,46.2,NA,NA,NA,NA,NA,"1997"
"4019","GJH053","SPEI",1997-06-03,"GJH",1,68.4,43.8,NA,NA,NA,NA,NA,"1997"
"4020","GJH053","SPEI",1997-06-03,"GJH",2,67.7,44.6,NA,NA,NA,NA,NA,"1997"
"4021","GJH053","SPEI",1997-06-03,"GJH",3,67.2,44.2,NA,NA,NA,NA,NA,"1997"
"4022","GJH053","SPEI",1997-06-03,"GJH",4,67.2,43.5,NA,NA,NA,NA,NA,"1997"
"4023","GJH053","SPEI",1997-06-03,"GJH",5,66.4,44.9,NA,NA,NA,NA,NA,"1997"
"4024","EFS051","COEI",1997-06-03,"EFS",1,77.5,50,NA,NA,NA,NA,NA,"1997"
"4025","EFS051","COEI",1997-06-03,"EFS",2,76.9,49,NA,NA,NA,NA,NA,"1997"
"4026","EFS051","COEI",1997-06-03,"EFS",3,76.8,48.6,NA,NA,NA,NA,NA,"1997"
"4027","EFS051","COEI",1997-06-03,"EFS",4,76.8,49.2,NA,NA,NA,NA,NA,"1997"
"4028","EFS052","SPEI",1997-06-03,"EFS",1,67.8,45,NA,NA,NA,NA,NA,"1997"
"4029","EFS052","SPEI",1997-06-03,"EFS",2,69.6,42,NA,NA,NA,NA,NA,"1997"
"4030","EFS052","SPEI",1997-06-03,"EFS",3,70,44.2,NA,NA,NA,NA,NA,"1997"
"4031","EFS052","SPEI",1997-06-03,"EFS",4,69.7,44.2,NA,NA,NA,NA,NA,"1997"
"4032","EFS052","SPEI",1997-06-03,"EFS",5,70.4,44.6,NA,NA,NA,NA,NA,"1997"
"4033","EFS052","SPEI",1997-06-03,"EFS",6,68.7,43.7,NA,NA,NA,NA,NA,"1997"
"4034","EFS053","COEI",1997-06-03,"EFS",1,76,50.4,NA,NA,NA,NA,NA,"1997"
"4035","EFS053","COEI",1997-06-03,"EFS",2,76.4,50.4,NA,NA,NA,NA,NA,"1997"
"4036","EFS053","COEI",1997-06-03,"EFS",3,75.8,50.4,NA,NA,NA,NA,NA,"1997"
"4037","EFS053","COEI",1997-06-03,"EFS",4,75.7,50.5,NA,NA,NA,NA,NA,"1997"
"4038","EFS053","COEI",1997-06-03,"EFS",5,76.5,50.9,NA,NA,NA,NA,NA,"1997"
"4039","TLM089","SPEI",1997-06-04,"TLM",1,67.4,42.8,NA,NA,NA,NA,NA,"1997"
"4040","TLM089","SPEI",1997-06-04,"TLM",2,65.4,42.6,NA,NA,NA,NA,NA,"1997"
"4041","TLM089","SPEI",1997-06-04,"TLM",3,66.9,43,NA,NA,NA,NA,NA,"1997"
"4042","TLM089","SPEI",1997-06-04,"TLM",4,66,44.2,NA,NA,NA,NA,NA,"1997"
"4043","TLM089","SPEI",1997-06-04,"TLM",5,67.5,44,NA,NA,NA,NA,NA,"1997"
"4044","TLM089","SPEI",1997-06-04,"TLM",6,64.2,42.7,NA,NA,NA,NA,NA,"1997"
"4045","TLM090","SPEI",1997-06-04,"TLM",1,68.5,40.1,NA,NA,NA,NA,NA,"1997"
"4046","TLM090","SPEI",1997-06-04,"TLM",2,70.2,41.6,NA,NA,NA,NA,NA,"1997"
"4047","TLM044","COEI",1997-06-04,"GJH",9,71.4,49.3,NA,NA,NA,NA,NA,"1997"
"4048","TLM044","COEI",1997-06-04,"GJH",10,72.4,49.1,NA,NA,NA,NA,NA,"1997"
"4049","GJH054","SPEI",1997-06-04,"GJH",1,65.7,43.4,NA,NA,NA,NA,NA,"1997"
"4050","GJH054","SPEI",1997-06-04,"GJH",2,68.4,45,NA,NA,NA,NA,NA,"1997"
"4051","GJH054","SPEI",1997-06-04,"GJH",3,72.4,43.1,NA,NA,NA,NA,NA,"1997"
"4052","GJH054","SPEI",1997-06-04,"GJH",4,67.6,44.1,NA,NA,NA,NA,NA,"1997"
"4053","GJH054","SPEI",1997-06-04,"GJH",5,66.1,45.3,NA,NA,NA,NA,NA,"1997"
"4054","GJH054","SPEI",1997-06-04,"GJH",6,67.6,44.5,NA,NA,NA,NA,NA,"1997"
"4055","MMB013","SPEI",1997-06-04,"MMB",4,78.4,48,NA,NA,NA,NA,NA,"1997"
"4056","MMB028","COEI",1997-06-04,"MMB",1,73.7,50.8,NA,NA,NA,NA,NA,"1997"
"4057","MMB028","COEI",1997-06-04,"MMB",3,73.3,51.1,NA,NA,NA,NA,NA,"1997"
"4058","MMB028","COEI",1997-06-04,"MMB",3,74.3,51.4,NA,NA,NA,NA,NA,"1997"
"4059","MMB029","SPEI",1997-06-04,"MMB",1,66.7,43.7,NA,NA,NA,NA,NA,"1997"
"4060","MMB029","SPEI",1997-06-04,"MMB",2,69.2,44.9,NA,NA,NA,NA,NA,"1997"
"4061","MMB029","SPEI",1997-06-04,"MMB",3,67.3,44.3,NA,NA,NA,NA,NA,"1997"
"4062","MMB031","SPEI",1997-06-05,"MMB",1,70.8,43.6,NA,NA,NA,NA,NA,"1997"
"4063","MMB031","SPEI",1997-06-05,"MMB",2,68.6,42.7,NA,NA,NA,NA,NA,"1997"
"4064","MMB031","SPEI",1997-06-05,"MMB",3,68.1,43.2,NA,NA,NA,NA,NA,"1997"
"4065","MMB031","SPEI",1997-06-05,"MMB",4,70,43.3,NA,NA,NA,NA,NA,"1997"
"4066","MMB031","SPEI",1997-06-05,"MMB",5,66.5,43.5,NA,NA,NA,NA,NA,"1997"
"4067","MMB032","SPEI",1997-06-05,"MMB",1,68,42,NA,NA,NA,NA,NA,"1997"
"4068","MMB032","SPEI",1997-06-05,"MMB",2,70,47,NA,NA,NA,NA,NA,"1997"
"4069","MMB032","SPEI",1997-06-05,"MMB",3,68.5,46.9,NA,NA,NA,NA,NA,"1997"
"4070","MMB032","SPEI",1997-06-05,"MMB",4,65.2,46.3,NA,NA,NA,NA,NA,"1997"
"4071","MMB030","SPEI",1997-06-05,"MMB",1,68.8,45.3,NA,NA,NA,NA,NA,"1997"
"4072","MMB030","SPEI",1997-06-05,"MMB",2,66.9,45.3,NA,NA,NA,NA,NA,"1997"
"4073","MMB030","SPEI",1997-06-05,"MMB",3,70.3,46.1,NA,NA,NA,NA,NA,"1997"
"4074","MMB030","SPEI",1997-06-05,"MMB",4,70.1,45.4,NA,NA,NA,NA,NA,"1997"
"4075","MMB030","SPEI",1997-06-05,"MMB",5,69,46.1,NA,NA,NA,NA,NA,"1997"
"4076","MMB030","SPEI",1997-06-05,"MMB",6,65.7,45.3,NA,NA,NA,NA,NA,"1997"
"4077","GJH055","COEI",1997-06-05,"GJH",1,73.8,50.1,NA,NA,NA,NA,NA,"1997"
"4078","GJH055","COEI",1997-06-05,"GJH",2,77,50.6,NA,NA,NA,NA,NA,"1997"
"4079","GJH055","COEI",1997-06-05,"GJH",3,79,50.7,NA,NA,NA,NA,NA,"1997"
"4080","GJH055","COEI",1997-06-05,"GJH",4,77.5,50.8,NA,NA,NA,NA,NA,"1997"
"4081","GJH055","COEI",1997-06-05,"GJH",5,70.6,51,NA,NA,NA,NA,NA,"1997"
"4082","GJH056","COEI",1997-06-05,"GJH",1,78.1,49.4,NA,NA,NA,NA,NA,"1997"
"4083","GJH056","COEI",1997-06-05,"GJH",2,76.5,48.5,NA,NA,NA,NA,NA,"1997"
"4084","GJH056","COEI",1997-06-05,"GJH",3,78.4,49.6,NA,NA,NA,NA,NA,"1997"
"4085","GJH056","COEI",1997-06-05,"GJH",4,77.4,49.8,NA,NA,NA,NA,NA,"1997"
"4086","GJH056","COEI",1997-06-05,"GJH",5,79.6,49.6,NA,NA,NA,NA,NA,"1997"
"4087","GJH057","SPEI",1997-06-05,"GJH",1,73.7,44.1,NA,NA,NA,NA,NA,"1997"
"4088","GJH057","SPEI",1997-06-05,"GJH",2,69.5,43.9,NA,NA,NA,NA,NA,"1997"
"4089","GJH057","SPEI",1997-06-05,"GJH",3,72,44.5,NA,NA,NA,NA,NA,"1997"
"4090","TLM091","SPEI",1997-06-05,"TLM",1,66.9,44.7,NA,NA,NA,NA,NA,"1997"
"4091","TLM091","SPEI",1997-06-05,"TLM",2,71.8,44.1,NA,NA,NA,NA,NA,"1997"
"4092","TLM091","SPEI",1997-06-05,"TLM",3,70.6,44.9,NA,NA,NA,NA,NA,"1997"
"4093","TLM091","SPEI",1997-06-05,"TLM",4,69.8,44.1,NA,NA,NA,NA,NA,"1997"
"4094","TLM091","SPEI",1997-06-05,"TLM",5,72,44.1,NA,NA,NA,NA,NA,"1997"
"4095","TLM092","COEI",1997-06-05,"TLM",1,73.7,49.5,NA,0,0,0,1997-06-24,"1997"
"4096","TLM092","COEI",1997-06-05,"TLM",2,69.8,48.4,NA,0,0,0,1997-06-24,"1997"
"4097","TLM092","COEI",1997-06-05,"TLM",3,67.3,47.5,NA,0,0,0,1997-06-24,"1997"
"4098","TLM092","COEI",1997-06-05,"TLM",4,71.2,48,NA,0,0,0,1997-06-24,"1997"
"4099","TLM092","COEI",1997-06-05,"TLM",5,69.7,48.6,NA,0,0,0,1997-06-24,"1997"
"4100","EFS037","SPEI",1997-06-05,"TLM",5,65.6,47.5,NA,NA,NA,NA,NA,"1997"
"4101","EFS037","SPEI",1997-06-05,"TLM",6,68.8,47.6,NA,NA,NA,NA,NA,"1997"
"4102","EFS038","SPEI",1997-06-05,"TLM",4,71.5,44.7,NA,NA,NA,NA,NA,"1997"
"4103","GJH058","SPEI",1997-06-06,"GJH",1,68.4,45.4,NA,NA,NA,NA,NA,"1997"
"4104","GJH058","SPEI",1997-06-06,"GJH",2,70.9,45.2,NA,NA,NA,NA,NA,"1997"
"4105","GJH058","SPEI",1997-06-06,"GJH",3,67.8,44.3,NA,NA,NA,NA,NA,"1997"
"4106","GJH058","SPEI",1997-06-06,"GJH",4,69.3,45.5,NA,NA,NA,NA,NA,"1997"
"4107","GJH059","COEI",1997-06-06,"GJH",1,77.7,52.5,NA,NA,NA,NA,NA,"1997"
"4108","GJH059","COEI",1997-06-06,"GJH",2,84.2,51.4,NA,NA,NA,NA,NA,"1997"
"4109","GJH059","COEI",1997-06-06,"GJH",3,80.5,50.8,NA,NA,NA,NA,NA,"1997"
"4110","GJH059","COEI",1997-06-06,"GJH",4,77.7,51.2,NA,NA,NA,NA,NA,"1997"
"4111","GJH060","COEI",1997-06-06,"GJH",1,73.1,51.1,NA,NA,NA,NA,NA,"1997"
"4112","GJH060","COEI",1997-06-06,"GJH",2,75.4,51.4,NA,NA,NA,NA,NA,"1997"
"4113","GJH060","COEI",1997-06-06,"GJH",3,74.3,50.8,NA,NA,NA,NA,NA,"1997"
"4114","GJH060","COEI",1997-06-06,"GJH",4,74.2,52.1,NA,NA,NA,NA,NA,"1997"
"4115","GJH060","COEI",1997-06-06,"GJH",5,71,50.2,NA,NA,NA,NA,NA,"1997"
"4116","GJH060","COEI",1997-06-06,"GJH",6,75.5,50.5,NA,NA,NA,NA,NA,"1997"
"4117","GJH060","COEI",1997-06-06,"GJH",7,80.4,50,NA,NA,NA,NA,NA,"1997"
"4118","GJH060","COEI",1997-06-06,"GJH",8,72,49.3,NA,NA,NA,NA,NA,"1997"
"4119","GJH060","COEI",1997-06-06,"GJH",9,74.3,51.7,NA,NA,NA,NA,NA,"1997"
"4120","MMB033","SPEI",1997-06-06,"MMB",1,70.9,50.5,NA,NA,NA,NA,NA,"1997"
"4121","MMB033","coei",1997-06-06,"MMB",2,68.6,50,NA,NA,NA,NA,NA,"1997"
"4122","MMB033","SPEI",1997-06-06,"MMB",3,70.2,49.2,NA,NA,NA,NA,NA,"1997"
"4123","MMB033","SPEI",1997-06-06,"MMB",4,68.9,48.3,NA,NA,NA,NA,NA,"1997"
"4124","MMB033","SPEI",1997-06-06,"MMB",5,72.5,48.8,NA,NA,NA,NA,NA,"1997"
"4125","MMB034","COEI",1997-06-06,"MMB",1,71.9,49.5,NA,NA,NA,NA,NA,"1997"
"4126","MMB034","COEI",1997-06-06,"MMB",2,79.5,50.9,NA,NA,NA,NA,NA,"1997"
"4127","MMB034","COEI",1997-06-06,"MMB",3,76.2,50.8,NA,NA,NA,NA,NA,"1997"
"4128","MMB034","COEI",1997-06-06,"MMB",4,69,46.9,NA,NA,NA,NA,NA,"1997"
"4129","MMB034","COEI",1997-06-06,"MMB",5,73,50.1,NA,NA,NA,NA,NA,"1997"
"4130","MMB034","COEI",1997-06-06,"MMB",6,70.6,50.1,NA,NA,NA,NA,NA,"1997"
"4131","MMB034","COEI",1997-06-06,"MMB",7,72.4,49.1,NA,NA,NA,NA,NA,"1997"
"4132","MMB037","COEI",1997-06-06,"MMB",1,76.9,47.5,NA,NA,NA,NA,NA,"1997"
"4133","MMB037","COEI",1997-06-06,"MMB",2,73.7,49,NA,NA,NA,NA,NA,"1997"
"4134","MMB037","COEI",1997-06-06,"MMB",3,74,48.9,NA,NA,NA,NA,NA,"1997"
"4135","MMB037","COEI",1997-06-06,"MMB",4,75.6,48.5,NA,NA,NA,NA,NA,"1997"
"4136","MMB035","COEI",1997-06-06,"MMB",1,73.6,51.8,NA,NA,NA,NA,NA,"1997"
"4137","MMB036","COEI",1997-06-06,"MMB",1,76.6,48.8,NA,NA,NA,NA,NA,"1997"
"4138","GJH039","COEI",1997-06-06,"MMB",7,72.5,47.7,NA,NA,NA,NA,NA,"1997"
"4139","EFS041","COEI",1997-06-06,"MMB",6,68.9,47.3,NA,NA,NA,NA,NA,"1997"
"4140","TLM094","SPEI",1997-06-06,"TLM",1,66.6,46.1,NA,NA,NA,NA,NA,"1997"
"4141","TLM094","SPEI",1997-06-06,"TLM",2,69,46.8,NA,NA,NA,NA,NA,"1997"
"4142","TLM094","SPEI",1997-06-06,"TLM",3,66.2,45,NA,NA,NA,NA,NA,"1997"
"4143","TLM094","SPEI",1997-06-06,"TLM",4,69.1,45.6,NA,NA,NA,NA,NA,"1997"
"4144","TLM094","SPEI",1997-06-06,"TLM",5,69,45.7,NA,NA,NA,NA,NA,"1997"
"4145","TLM094","SPEI",1997-06-06,"TLM",6,66.9,45,NA,NA,NA,NA,NA,"1997"
"4146","TLM093","SPEI",1997-06-06,"TLM",1,65.8,44.5,NA,NA,NA,NA,NA,"1997"
"4147","TLM093","SPEI",1997-06-06,"TLM",2,70.5,45.5,NA,NA,NA,NA,NA,"1997"
"4148","TLM093","SPEI",1997-06-06,"TLM",3,69,44.5,NA,NA,NA,NA,NA,"1997"
"4149","TLM093","SPEI",1997-06-06,"TLM",4,70.3,44.8,NA,NA,NA,NA,NA,"1997"
"4150","TLM093","SPEI",1997-06-06,"TLM",5,69.5,43.3,NA,NA,NA,NA,NA,"1997"
"4151","TLM093","SPEI",1997-06-06,"TLM",0,0,0,NA,NA,NA,NA,NA,"1997"
"4152","EFS056","SPEI",1997-06-06,"EFS",1,69.2,45.7,NA,NA,NA,NA,NA,"1997"
"4153","EFS056","SPEI",1997-06-06,"EFS",2,68.4,45.6,NA,NA,NA,NA,NA,"1997"
"4154","EFS056","SPEI",1997-06-06,"EFS",3,68.3,45.2,NA,NA,NA,NA,NA,"1997"
"4155","EFS056","SPEI",1997-06-06,"EFS",4,67.3,43.8,NA,NA,NA,NA,NA,"1997"
"4156","EFS056","SPEI",1997-06-06,"EFS",5,67.9,45.8,NA,NA,NA,NA,NA,"1997"
"4157","EFS057","SPEI",1997-06-06,"EFS",1,65.4,43.7,NA,NA,NA,NA,NA,"1997"
"4158","EFS057","SPEI",1997-06-06,"EFS",2,64.6,45.7,NA,NA,NA,NA,NA,"1997"
"4159","EFS058","SPEI",1997-06-06,"EFS",1,68.3,45.6,NA,NA,NA,NA,NA,"1997"
"4160","GJH061","COEI",1997-06-07,"GJH",1,78.6,51,NA,NA,NA,NA,NA,"1997"
"4161","GJH061","COEI",1997-06-07,"GJH",2,76.2,51.9,NA,NA,NA,NA,NA,"1997"
"4162","GJH061","COEI",1997-06-07,"GJH",3,79.1,51.5,NA,NA,NA,NA,NA,"1997"
"4163","GJH061","COEI",1997-06-07,"GJH",4,81.3,50.4,NA,NA,NA,NA,NA,"1997"
"4164","GJH061","COEI",1997-06-07,"GJH",5,75.3,52.5,NA,NA,NA,NA,NA,"1997"
"4165","GJH061","COEI",1997-06-07,"GJH",6,78.9,51.3,NA,NA,NA,NA,NA,"1997"
"4166","GJH062","SPEI",1997-06-07,"GJH",1,64,44.9,NA,NA,NA,NA,NA,"1997"
"4167","GJH062","SPEI",1997-06-07,"GJH",2,63.5,44.8,NA,NA,NA,NA,NA,"1997"
"4168","GJH062","SPEI",1997-06-07,"GJH",3,63.2,43.3,NA,NA,NA,NA,NA,"1997"
"4169","MMB039","SPEI",1997-06-07,"MMB",1,68.5,43.9,NA,NA,NA,NA,NA,"1997"
